,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
PATT0002416,True,True,True,,True,True,True,,,,,,
PATT0002417,True,True,True,,True,True,,True,,,,,
PATT0002418,True,True,True,,True,True,,,True,,,,
PATT0002419,True,True,True,,True,True,,,,True,,,
PATT0002420,True,True,True,,True,True,,,,,True,,
PATT0002421,True,True,True,,True,True,,,,,,True,
PATT0002422,True,True,True,,True,True,,,,,,,True
PATT0002423,True,True,True,,True,,True,True,,,,,
PATT0002424,True,True,True,,True,,True,,True,,,,
PATT0002425,True,True,True,,True,,True,,,True,,,
PATT0002426,True,True,True,,True,,True,,,,True,,
PATT0002427,True,True,True,,True,,True,,,,,True,
PATT0002428,True,True,True,,True,,True,,,,,,True
PATT0002429,True,True,True,,True,,,True,True,,,,
PATT0002430,True,True,True,,True,,,True,,True,,,
PATT0002431,True,True,True,,True,,,True,,,True,,
PATT0002432,True,True,True,,True,,,True,,,,True,
PATT0002433,True,True,True,,True,,,True,,,,,True
PATT0002434,True,True,True,,True,,,,True,True,,,
PATT0002435,True,True,True,,True,,,,True,,True,,
PATT0002436,True,True,True,,True,,,,True,,,True,
PATT0002437,True,True,True,,True,,,,True,,,,True
PATT0002438,True,True,True,,True,,,,,True,True,,
PATT0002439,True,True,True,,True,,,,,True,,True,
PATT0002440,True,True,True,,True,,,,,True,,,True
PATT0002441,True,True,True,,True,,,,,,True,True,
PATT0002442,True,True,True,,True,,,,,,True,,True
PATT0002443,True,True,True,,True,,,,,,,True,True
PATT0002444,True,True,True,,,True,True,True,,,,,
PATT0002445,True,True,True,,,True,True,,True,,,,
PATT0002446,True,True,True,,,True,True,,,True,,,
PATT0002447,True,True,True,,,True,True,,,,True,,
PATT0002448,True,True,True,,,True,True,,,,,True,
PATT0002449,True,True,True,,,True,True,,,,,,True
PATT0002450,True,True,True,,,True,,True,True,,,,
PATT0002451,True,True,True,,,True,,True,,True,,,
PATT0002452,True,True,True,,,True,,True,,,True,,
PATT0002453,True,True,True,,,True,,True,,,,True,
PATT0002454,True,True,True,,,True,,True,,,,,True
PATT0002455,True,True,True,,,True,,,True,True,,,
PATT0002456,True,True,True,,,True,,,True,,True,,
PATT0002457,True,True,True,,,True,,,True,,,True,
PATT0002458,True,True,True,,,True,,,True,,,,True
PATT0002459,True,True,True,,,True,,,,True,True,,
PATT0002460,True,True,True,,,True,,,,True,,True,
PATT0002461,True,True,True,,,True,,,,True,,,True
PATT0002462,True,True,True,,,True,,,,,True,True,
PATT0002463,True,True,True,,,True,,,,,True,,True
PATT0002464,True,True,True,,,True,,,,,,True,True
PATT0002465,True,True,True,,,,True,True,True,,,,
PATT0002466,True,True,True,,,,True,True,,True,,,
PATT0002467,True,True,True,,,,True,True,,,True,,
PATT0002468,True,True,True,,,,True,True,,,,True,
PATT0002469,True,True,True,,,,True,True,,,,,True
PATT0002470,True,True,True,,,,True,,True,True,,,
PATT0002471,True,True,True,,,,True,,True,,True,,
PATT0002472,True,True,True,,,,True,,True,,,True,
PATT0002473,True,True,True,,,,True,,True,,,,True
PATT0002474,True,True,True,,,,True,,,True,True,,
PATT0002475,True,True,True,,,,True,,,True,,True,
PATT0002476,True,True,True,,,,True,,,True,,,True
PATT0002477,True,True,True,,,,True,,,,True,True,
PATT0002478,True,True,True,,,,True,,,,True,,True
PATT0002479,True,True,True,,,,True,,,,,True,True
PATT0002480,True,True,True,,,,,True,True,True,,,
PATT0002481,True,True,True,,,,,True,True,,True,,
PATT0002482,True,True,True,,,,,True,True,,,True,
PATT0002483,True,True,True,,,,,True,True,,,,True
PATT0002484,True,True,True,,,,,True,,True,True,,
PATT0002485,True,True,True,,,,,True,,True,,True,
PATT0002486,True,True,True,,,,,True,,True,,,True
PATT0002487,True,True,True,,,,,True,,,True,True,
PATT0002488,True,True,True,,,,,True,,,True,,True
PATT0002489,True,True,True,,,,,True,,,,True,True
PATT0002490,True,True,True,,,,,,True,True,True,,
PATT0002491,True,True,True,,,,,,True,True,,True,
PATT0002492,True,True,True,,,,,,True,True,,,True
PATT0002493,True,True,True,,,,,,True,,True,True,
PATT0002494,True,True,True,,,,,,True,,True,,True
PATT0002495,True,True,True,,,,,,True,,,True,True
PATT0002496,True,True,True,,,,,,,True,True,True,
PATT0002497,True,True,True,,,,,,,True,True,,True
PATT0002498,True,True,True,,,,,,,True,,True,True
PATT0002499,True,True,True,,,,,,,,True,True,True
PATT0002500,True,True,,True,True,True,True,,,,,,
PATT0002501,True,True,,True,True,True,,True,,,,,
PATT0002502,True,True,,True,True,True,,,True,,,,
PATT0002503,True,True,,True,True,True,,,,True,,,
PATT0002504,True,True,,True,True,True,,,,,True,,
PATT0002505,True,True,,True,True,True,,,,,,True,
PATT0002506,True,True,,True,True,True,,,,,,,True
PATT0002507,True,True,,True,True,,True,True,,,,,
PATT0002508,True,True,,True,True,,True,,True,,,,
PATT0002509,True,True,,True,True,,True,,,True,,,
PATT0002510,True,True,,True,True,,True,,,,True,,
PATT0002511,True,True,,True,True,,True,,,,,True,
PATT0002512,True,True,,True,True,,True,,,,,,True
PATT0002513,True,True,,True,True,,,True,True,,,,
PATT0002514,True,True,,True,True,,,True,,True,,,
PATT0002515,True,True,,True,True,,,True,,,True,,
PATT0002516,True,True,,True,True,,,True,,,,True,
PATT0002517,True,True,,True,True,,,True,,,,,True
PATT0002518,True,True,,True,True,,,,True,True,,,
PATT0002519,True,True,,True,True,,,,True,,True,,
PATT0002520,True,True,,True,True,,,,True,,,True,
PATT0002521,True,True,,True,True,,,,True,,,,True
PATT0002522,True,True,,True,True,,,,,True,True,,
PATT0002523,True,True,,True,True,,,,,True,,True,
PATT0002524,True,True,,True,True,,,,,True,,,True
PATT0002525,True,True,,True,True,,,,,,True,True,
PATT0002526,True,True,,True,True,,,,,,True,,True
PATT0002527,True,True,,True,True,,,,,,,True,True
PATT0002528,True,True,,True,,True,True,True,,,,,
PATT0002529,True,True,,True,,True,True,,True,,,,
PATT0002530,True,True,,True,,True,True,,,True,,,
PATT0002531,True,True,,True,,True,True,,,,True,,
PATT0002532,True,True,,True,,True,True,,,,,True,
PATT0002533,True,True,,True,,True,True,,,,,,True
PATT0002534,True,True,,True,,True,,True,True,,,,
PATT0002535,True,True,,True,,True,,True,,True,,,
PATT0002536,True,True,,True,,True,,True,,,True,,
PATT0002537,True,True,,True,,True,,True,,,,True,
PATT0002538,True,True,,True,,True,,True,,,,,True
PATT0002539,True,True,,True,,True,,,True,True,,,
PATT0002540,True,True,,True,,True,,,True,,True,,
PATT0002541,True,True,,True,,True,,,True,,,True,
PATT0002542,True,True,,True,,True,,,True,,,,True
PATT0002543,True,True,,True,,True,,,,True,True,,
PATT0002544,True,True,,True,,True,,,,True,,True,
PATT0002545,True,True,,True,,True,,,,True,,,True
PATT0002546,True,True,,True,,True,,,,,True,True,
PATT0002547,True,True,,True,,True,,,,,True,,True
PATT0002548,True,True,,True,,True,,,,,,True,True
PATT0002549,True,True,,True,,,True,True,True,,,,
PATT0002550,True,True,,True,,,True,True,,True,,,
PATT0002551,True,True,,True,,,True,True,,,True,,
PATT0002552,True,True,,True,,,True,True,,,,True,
PATT0002553,True,True,,True,,,True,True,,,,,True
PATT0002554,True,True,,True,,,True,,True,True,,,
PATT0002555,True,True,,True,,,True,,True,,True,,
PATT0002556,True,True,,True,,,True,,True,,,True,
PATT0002557,True,True,,True,,,True,,True,,,,True
PATT0002558,True,True,,True,,,True,,,True,True,,
PATT0002559,True,True,,True,,,True,,,True,,True,
PATT0002560,True,True,,True,,,True,,,True,,,True
PATT0002561,True,True,,True,,,True,,,,True,True,
PATT0002562,True,True,,True,,,True,,,,True,,True
PATT0002563,True,True,,True,,,True,,,,,True,True
PATT0002564,True,True,,True,,,,True,True,True,,,
PATT0002565,True,True,,True,,,,True,True,,True,,
PATT0002566,True,True,,True,,,,True,True,,,True,
PATT0002567,True,True,,True,,,,True,True,,,,True
PATT0002568,True,True,,True,,,,True,,True,True,,
PATT0002569,True,True,,True,,,,True,,True,,True,
PATT0002570,True,True,,True,,,,True,,True,,,True
PATT0002571,True,True,,True,,,,True,,,True,True,
PATT0002572,True,True,,True,,,,True,,,True,,True
PATT0002573,True,True,,True,,,,True,,,,True,True
PATT0002574,True,True,,True,,,,,True,True,True,,
PATT0002575,True,True,,True,,,,,True,True,,True,
PATT0002576,True,True,,True,,,,,True,True,,,True
PATT0002577,True,True,,True,,,,,True,,True,True,
PATT0002578,True,True,,True,,,,,True,,True,,True
PATT0002579,True,True,,True,,,,,True,,,True,True
PATT0002580,True,True,,True,,,,,,True,True,True,
PATT0002581,True,True,,True,,,,,,True,True,,True
PATT0002582,True,True,,True,,,,,,True,,True,True
PATT0002583,True,True,,True,,,,,,,True,True,True
PATT0002584,True,True,,,True,True,True,True,,,,,
PATT0002585,True,True,,,True,True,True,,True,,,,
PATT0002586,True,True,,,True,True,True,,,True,,,
PATT0002587,True,True,,,True,True,True,,,,True,,
PATT0002588,True,True,,,True,True,True,,,,,True,
PATT0002589,True,True,,,True,True,True,,,,,,True
PATT0002590,True,True,,,True,True,,True,True,,,,
PATT0002591,True,True,,,True,True,,True,,True,,,
PATT0002592,True,True,,,True,True,,True,,,True,,
PATT0002593,True,True,,,True,True,,True,,,,True,
PATT0002594,True,True,,,True,True,,True,,,,,True
PATT0002595,True,True,,,True,True,,,True,True,,,
PATT0002596,True,True,,,True,True,,,True,,True,,
PATT0002597,True,True,,,True,True,,,True,,,True,
PATT0002598,True,True,,,True,True,,,True,,,,True
PATT0002599,True,True,,,True,True,,,,True,True,,
PATT0002600,True,True,,,True,True,,,,True,,True,
PATT0002601,True,True,,,True,True,,,,True,,,True
PATT0002602,True,True,,,True,True,,,,,True,True,
PATT0002603,True,True,,,True,True,,,,,True,,True
PATT0002604,True,True,,,True,True,,,,,,True,True
PATT0002605,True,True,,,True,,True,True,True,,,,
PATT0002606,True,True,,,True,,True,True,,True,,,
PATT0002607,True,True,,,True,,True,True,,,True,,
PATT0002608,True,True,,,True,,True,True,,,,True,
PATT0002609,True,True,,,True,,True,True,,,,,True
PATT0002610,True,True,,,True,,True,,True,True,,,
PATT0002611,True,True,,,True,,True,,True,,True,,
PATT0002612,True,True,,,True,,True,,True,,,True,
PATT0002613,True,True,,,True,,True,,True,,,,True
PATT0002614,True,True,,,True,,True,,,True,True,,
PATT0002615,True,True,,,True,,True,,,True,,True,
PATT0002616,True,True,,,True,,True,,,True,,,True
PATT0002617,True,True,,,True,,True,,,,True,True,
PATT0002618,True,True,,,True,,True,,,,True,,True
PATT0002619,True,True,,,True,,True,,,,,True,True
PATT0002620,True,True,,,True,,,True,True,True,,,
PATT0002621,True,True,,,True,,,True,True,,True,,
PATT0002622,True,True,,,True,,,True,True,,,True,
PATT0002623,True,True,,,True,,,True,True,,,,True
PATT0002624,True,True,,,True,,,True,,True,True,,
PATT0002625,True,True,,,True,,,True,,True,,True,
PATT0002626,True,True,,,True,,,True,,True,,,True
PATT0002627,True,True,,,True,,,True,,,True,True,
PATT0002628,True,True,,,True,,,True,,,True,,True
PATT0002629,True,True,,,True,,,True,,,,True,True
PATT0002630,True,True,,,True,,,,True,True,True,,
PATT0002631,True,True,,,True,,,,True,True,,True,
PATT0002632,True,True,,,True,,,,True,True,,,True
PATT0002633,True,True,,,True,,,,True,,True,True,
PATT0002634,True,True,,,True,,,,True,,True,,True
PATT0002635,True,True,,,True,,,,True,,,True,True
PATT0002636,True,True,,,True,,,,,True,True,True,
PATT0002637,True,True,,,True,,,,,True,True,,True
PATT0002638,True,True,,,True,,,,,True,,True,True
PATT0002639,True,True,,,True,,,,,,True,True,True
PATT0002640,True,True,,,,True,True,True,True,,,,
PATT0002641,True,True,,,,True,True,True,,True,,,
PATT0002642,True,True,,,,True,True,True,,,True,,
PATT0002643,True,True,,,,True,True,True,,,,True,
PATT0002644,True,True,,,,True,True,True,,,,,True
PATT0002645,True,True,,,,True,True,,True,True,,,
PATT0002646,True,True,,,,True,True,,True,,True,,
PATT0002647,True,True,,,,True,True,,True,,,True,
PATT0002648,True,True,,,,True,True,,True,,,,True
PATT0002649,True,True,,,,True,True,,,True,True,,
PATT0002650,True,True,,,,True,True,,,True,,True,
PATT0002651,True,True,,,,True,True,,,True,,,True
PATT0002652,True,True,,,,True,True,,,,True,True,
PATT0002653,True,True,,,,True,True,,,,True,,True
PATT0002654,True,True,,,,True,True,,,,,True,True
PATT0002655,True,True,,,,True,,True,True,True,,,
PATT0002656,True,True,,,,True,,True,True,,True,,
PATT0002657,True,True,,,,True,,True,True,,,True,
PATT0002658,True,True,,,,True,,True,True,,,,True
PATT0002659,True,True,,,,True,,True,,True,True,,
PATT0002660,True,True,,,,True,,True,,True,,True,
PATT0002661,True,True,,,,True,,True,,True,,,True
PATT0002662,True,True,,,,True,,True,,,True,True,
PATT0002663,True,True,,,,True,,True,,,True,,True
PATT0002664,True,True,,,,True,,True,,,,True,True
PATT0002665,True,True,,,,True,,,True,True,True,,
PATT0002666,True,True,,,,True,,,True,True,,True,
PATT0002667,True,True,,,,True,,,True,True,,,True
PATT0002668,True,True,,,,True,,,True,,True,True,
PATT0002669,True,True,,,,True,,,True,,True,,True
PATT0002670,True,True,,,,True,,,True,,,True,True
PATT0002671,True,True,,,,True,,,,True,True,True,
PATT0002672,True,True,,,,True,,,,True,True,,True
PATT0002673,True,True,,,,True,,,,True,,True,True
PATT0002674,True,True,,,,True,,,,,True,True,True
PATT0002675,True,True,,,,,True,True,True,True,,,
PATT0002676,True,True,,,,,True,True,True,,True,,
PATT0002677,True,True,,,,,True,True,True,,,True,
PATT0002678,True,True,,,,,True,True,True,,,,True
PATT0002679,True,True,,,,,True,True,,True,True,,
PATT0002680,True,True,,,,,True,True,,True,,True,
PATT0002681,True,True,,,,,True,True,,True,,,True
PATT0002682,True,True,,,,,True,True,,,True,True,
PATT0002683,True,True,,,,,True,True,,,True,,True
PATT0002684,True,True,,,,,True,True,,,,True,True
PATT0002685,True,True,,,,,True,,True,True,True,,
PATT0002686,True,True,,,,,True,,True,True,,True,
PATT0002687,True,True,,,,,True,,True,True,,,True
PATT0002688,True,True,,,,,True,,True,,True,True,
PATT0002689,True,True,,,,,True,,True,,True,,True
PATT0002690,True,True,,,,,True,,True,,,True,True
PATT0002691,True,True,,,,,True,,,True,True,True,
PATT0002692,True,True,,,,,True,,,True,True,,True
PATT0002693,True,True,,,,,True,,,True,,True,True
PATT0002694,True,True,,,,,True,,,,True,True,True
PATT0002695,True,True,,,,,,True,True,True,True,,
PATT0002696,True,True,,,,,,True,True,True,,True,
PATT0002697,True,True,,,,,,True,True,True,,,True
PATT0002698,True,True,,,,,,True,True,,True,True,
PATT0002699,True,True,,,,,,True,True,,True,,True
PATT0002700,True,True,,,,,,True,True,,,True,True
PATT0002701,True,True,,,,,,True,,True,True,True,
PATT0002702,True,True,,,,,,True,,True,True,,True
PATT0002703,True,True,,,,,,True,,True,,True,True
PATT0002704,True,True,,,,,,True,,,True,True,True
PATT0002705,True,True,,,,,,,True,True,True,True,
PATT0002706,True,True,,,,,,,True,True,True,,True
PATT0002707,True,True,,,,,,,True,True,,True,True
PATT0002708,True,True,,,,,,,True,,True,True,True
PATT0002709,True,True,,,,,,,,True,True,True,True
PATT0002710,True,,True,True,True,True,True,,,,,,
PATT0002711,True,,True,True,True,True,,True,,,,,
PATT0002712,True,,True,True,True,True,,,True,,,,
PATT0002713,True,,True,True,True,True,,,,True,,,
PATT0002714,True,,True,True,True,True,,,,,True,,
PATT0002715,True,,True,True,True,True,,,,,,True,
PATT0002716,True,,True,True,True,True,,,,,,,True
PATT0002717,True,,True,True,True,,True,True,,,,,
PATT0002718,True,,True,True,True,,True,,True,,,,
PATT0002719,True,,True,True,True,,True,,,True,,,
PATT0002720,True,,True,True,True,,True,,,,True,,
PATT0002721,True,,True,True,True,,True,,,,,True,
PATT0002722,True,,True,True,True,,True,,,,,,True
PATT0002723,True,,True,True,True,,,True,True,,,,
PATT0002724,True,,True,True,True,,,True,,True,,,
PATT0002725,True,,True,True,True,,,True,,,True,,
PATT0002726,True,,True,True,True,,,True,,,,True,
PATT0002727,True,,True,True,True,,,True,,,,,True
PATT0002728,True,,True,True,True,,,,True,True,,,
PATT0002729,True,,True,True,True,,,,True,,True,,
PATT0002730,True,,True,True,True,,,,True,,,True,
PATT0002731,True,,True,True,True,,,,True,,,,True
PATT0002732,True,,True,True,True,,,,,True,True,,
PATT0002733,True,,True,True,True,,,,,True,,True,
PATT0002734,True,,True,True,True,,,,,True,,,True
PATT0002735,True,,True,True,True,,,,,,True,True,
PATT0002736,True,,True,True,True,,,,,,True,,True
PATT0002737,True,,True,True,True,,,,,,,True,True
PATT0002738,True,,True,True,,True,True,True,,,,,
PATT0002739,True,,True,True,,True,True,,True,,,,
PATT0002740,True,,True,True,,True,True,,,True,,,
PATT0002741,True,,True,True,,True,True,,,,True,,
PATT0002742,True,,True,True,,True,True,,,,,True,
PATT0002743,True,,True,True,,True,True,,,,,,True
PATT0002744,True,,True,True,,True,,True,True,,,,
PATT0002745,True,,True,True,,True,,True,,True,,,
PATT0002746,True,,True,True,,True,,True,,,True,,
PATT0002747,True,,True,True,,True,,True,,,,True,
PATT0002748,True,,True,True,,True,,True,,,,,True
PATT0002749,True,,True,True,,True,,,True,True,,,
PATT0002750,True,,True,True,,True,,,True,,True,,
PATT0002751,True,,True,True,,True,,,True,,,True,
PATT0002752,True,,True,True,,True,,,True,,,,True
PATT0002753,True,,True,True,,True,,,,True,True,,
PATT0002754,True,,True,True,,True,,,,True,,True,
PATT0002755,True,,True,True,,True,,,,True,,,True
PATT0002756,True,,True,True,,True,,,,,True,True,
PATT0002757,True,,True,True,,True,,,,,True,,True
PATT0002758,True,,True,True,,True,,,,,,True,True
PATT0002759,True,,True,True,,,True,True,True,,,,
PATT0002760,True,,True,True,,,True,True,,True,,,
PATT0002761,True,,True,True,,,True,True,,,True,,
PATT0002762,True,,True,True,,,True,True,,,,True,
PATT0002763,True,,True,True,,,True,True,,,,,True
PATT0002764,True,,True,True,,,True,,True,True,,,
PATT0002765,True,,True,True,,,True,,True,,True,,
PATT0002766,True,,True,True,,,True,,True,,,True,
PATT0002767,True,,True,True,,,True,,True,,,,True
PATT0002768,True,,True,True,,,True,,,True,True,,
PATT0002769,True,,True,True,,,True,,,True,,True,
PATT0002770,True,,True,True,,,True,,,True,,,True
PATT0002771,True,,True,True,,,True,,,,True,True,
PATT0002772,True,,True,True,,,True,,,,True,,True
PATT0002773,True,,True,True,,,True,,,,,True,True
PATT0002774,True,,True,True,,,,True,True,True,,,
PATT0002775,True,,True,True,,,,True,True,,True,,
PATT0002776,True,,True,True,,,,True,True,,,True,
PATT0002777,True,,True,True,,,,True,True,,,,True
PATT0002778,True,,True,True,,,,True,,True,True,,
PATT0002779,True,,True,True,,,,True,,True,,True,
PATT0002780,True,,True,True,,,,True,,True,,,True
PATT0002781,True,,True,True,,,,True,,,True,True,
PATT0002782,True,,True,True,,,,True,,,True,,True
PATT0002783,True,,True,True,,,,True,,,,True,True
PATT0002784,True,,True,True,,,,,True,True,True,,
PATT0002785,True,,True,True,,,,,True,True,,True,
PATT0002786,True,,True,True,,,,,True,True,,,True
PATT0002787,True,,True,True,,,,,True,,True,True,
PATT0002788,True,,True,True,,,,,True,,True,,True
PATT0002789,True,,True,True,,,,,True,,,True,True
PATT0002790,True,,True,True,,,,,,True,True,True,
PATT0002791,True,,True,True,,,,,,True,True,,True
PATT0002792,True,,True,True,,,,,,True,,True,True
PATT0002793,True,,True,True,,,,,,,True,True,True
PATT0002794,True,,True,,True,True,True,True,,,,,
PATT0002795,True,,True,,True,True,True,,True,,,,
PATT0002796,True,,True,,True,True,True,,,True,,,
PATT0002797,True,,True,,True,True,True,,,,True,,
PATT0002798,True,,True,,True,True,True,,,,,True,
PATT0002799,True,,True,,True,True,True,,,,,,True
PATT0002800,True,,True,,True,True,,True,True,,,,
PATT0002801,True,,True,,True,True,,True,,True,,,
PATT0002802,True,,True,,True,True,,True,,,True,,
PATT0002803,True,,True,,True,True,,True,,,,True,
PATT0002804,True,,True,,True,True,,True,,,,,True
PATT0002805,True,,True,,True,True,,,True,True,,,
PATT0002806,True,,True,,True,True,,,True,,True,,
PATT0002807,True,,True,,True,True,,,True,,,True,
PATT0002808,True,,True,,True,True,,,True,,,,True
PATT0002809,True,,True,,True,True,,,,True,True,,
PATT0002810,True,,True,,True,True,,,,True,,True,
PATT0002811,True,,True,,True,True,,,,True,,,True
PATT0002812,True,,True,,True,True,,,,,True,True,
PATT0002813,True,,True,,True,True,,,,,True,,True
PATT0002814,True,,True,,True,True,,,,,,True,True
PATT0002815,True,,True,,True,,True,True,True,,,,
PATT0002816,True,,True,,True,,True,True,,True,,,
PATT0002817,True,,True,,True,,True,True,,,True,,
PATT0002818,True,,True,,True,,True,True,,,,True,
PATT0002819,True,,True,,True,,True,True,,,,,True
PATT0002820,True,,True,,True,,True,,True,True,,,
PATT0002821,True,,True,,True,,True,,True,,True,,
PATT0002822,True,,True,,True,,True,,True,,,True,
PATT0002823,True,,True,,True,,True,,True,,,,True
PATT0002824,True,,True,,True,,True,,,True,True,,
PATT0002825,True,,True,,True,,True,,,True,,True,
PATT0002826,True,,True,,True,,True,,,True,,,True
PATT0002827,True,,True,,True,,True,,,,True,True,
PATT0002828,True,,True,,True,,True,,,,True,,True
PATT0002829,True,,True,,True,,True,,,,,True,True
PATT0002830,True,,True,,True,,,True,True,True,,,
PATT0002831,True,,True,,True,,,True,True,,True,,
PATT0002832,True,,True,,True,,,True,True,,,True,
PATT0002833,True,,True,,True,,,True,True,,,,True
PATT0002834,True,,True,,True,,,True,,True,True,,
PATT0002835,True,,True,,True,,,True,,True,,True,
PATT0002836,True,,True,,True,,,True,,True,,,True
PATT0002837,True,,True,,True,,,True,,,True,True,
PATT0002838,True,,True,,True,,,True,,,True,,True
PATT0002839,True,,True,,True,,,True,,,,True,True
PATT0002840,True,,True,,True,,,,True,True,True,,
PATT0002841,True,,True,,True,,,,True,True,,True,
PATT0002842,True,,True,,True,,,,True,True,,,True
PATT0002843,True,,True,,True,,,,True,,True,True,
PATT0002844,True,,True,,True,,,,True,,True,,True
PATT0002845,True,,True,,True,,,,True,,,True,True
PATT0002846,True,,True,,True,,,,,True,True,True,
PATT0002847,True,,True,,True,,,,,True,True,,True
PATT0002848,True,,True,,True,,,,,True,,True,True
PATT0002849,True,,True,,True,,,,,,True,True,True
PATT0002850,True,,True,,,True,True,True,True,,,,
PATT0002851,True,,True,,,True,True,True,,True,,,
PATT0002852,True,,True,,,True,True,True,,,True,,
PATT0002853,True,,True,,,True,True,True,,,,True,
PATT0002854,True,,True,,,True,True,True,,,,,True
PATT0002855,True,,True,,,True,True,,True,True,,,
PATT0002856,True,,True,,,True,True,,True,,True,,
PATT0002857,True,,True,,,True,True,,True,,,True,
PATT0002858,True,,True,,,True,True,,True,,,,True
PATT0002859,True,,True,,,True,True,,,True,True,,
PATT0002860,True,,True,,,True,True,,,True,,True,
PATT0002861,True,,True,,,True,True,,,True,,,True
PATT0002862,True,,True,,,True,True,,,,True,True,
PATT0002863,True,,True,,,True,True,,,,True,,True
PATT0002864,True,,True,,,True,True,,,,,True,True
PATT0002865,True,,True,,,True,,True,True,True,,,
PATT0002866,True,,True,,,True,,True,True,,True,,
PATT0002867,True,,True,,,True,,True,True,,,True,
PATT0002868,True,,True,,,True,,True,True,,,,True
PATT0002869,True,,True,,,True,,True,,True,True,,
PATT0002870,True,,True,,,True,,True,,True,,True,
PATT0002871,True,,True,,,True,,True,,True,,,True
PATT0002872,True,,True,,,True,,True,,,True,True,
PATT0002873,True,,True,,,True,,True,,,True,,True
PATT0002874,True,,True,,,True,,True,,,,True,True
PATT0002875,True,,True,,,True,,,True,True,True,,
PATT0002876,True,,True,,,True,,,True,True,,True,
PATT0002877,True,,True,,,True,,,True,True,,,True
PATT0002878,True,,True,,,True,,,True,,True,True,
PATT0002879,True,,True,,,True,,,True,,True,,True
PATT0002880,True,,True,,,True,,,True,,,True,True
PATT0002881,True,,True,,,True,,,,True,True,True,
PATT0002882,True,,True,,,True,,,,True,True,,True
PATT0002883,True,,True,,,True,,,,True,,True,True
PATT0002884,True,,True,,,True,,,,,True,True,True
PATT0002885,True,,True,,,,True,True,True,True,,,
PATT0002886,True,,True,,,,True,True,True,,True,,
PATT0002887,True,,True,,,,True,True,True,,,True,
PATT0002888,True,,True,,,,True,True,True,,,,True
PATT0002889,True,,True,,,,True,True,,True,True,,
PATT0002890,True,,True,,,,True,True,,True,,True,
PATT0002891,True,,True,,,,True,True,,True,,,True
PATT0002892,True,,True,,,,True,True,,,True,True,
PATT0002893,True,,True,,,,True,True,,,True,,True
PATT0002894,True,,True,,,,True,True,,,,True,True
PATT0002895,True,,True,,,,True,,True,True,True,,
PATT0002896,True,,True,,,,True,,True,True,,True,
PATT0002897,True,,True,,,,True,,True,True,,,True
PATT0002898,True,,True,,,,True,,True,,True,True,
PATT0002899,True,,True,,,,True,,True,,True,,True
PATT0002900,True,,True,,,,True,,True,,,True,True
PATT0002901,True,,True,,,,True,,,True,True,True,
PATT0002902,True,,True,,,,True,,,True,True,,True
PATT0002903,True,,True,,,,True,,,True,,True,True
PATT0002904,True,,True,,,,True,,,,True,True,True
PATT0002905,True,,True,,,,,True,True,True,True,,
PATT0002906,True,,True,,,,,True,True,True,,True,
PATT0002907,True,,True,,,,,True,True,True,,,True
PATT0002908,True,,True,,,,,True,True,,True,True,
PATT0002909,True,,True,,,,,True,True,,True,,True
PATT0002910,True,,True,,,,,True,True,,,True,True
PATT0002911,True,,True,,,,,True,,True,True,True,
PATT0002912,True,,True,,,,,True,,True,True,,True
PATT0002913,True,,True,,,,,True,,True,,True,True
PATT0002914,True,,True,,,,,True,,,True,True,True
PATT0002915,True,,True,,,,,,True,True,True,True,
PATT0002916,True,,True,,,,,,True,True,True,,True
PATT0002917,True,,True,,,,,,True,True,,True,True
PATT0002918,True,,True,,,,,,True,,True,True,True
PATT0002919,True,,True,,,,,,,True,True,True,True
PATT0002920,True,,,True,True,True,True,True,,,,,
PATT0002921,True,,,True,True,True,True,,True,,,,
PATT0002922,True,,,True,True,True,True,,,True,,,
PATT0002923,True,,,True,True,True,True,,,,True,,
PATT0002924,True,,,True,True,True,True,,,,,True,
PATT0002925,True,,,True,True,True,True,,,,,,True
PATT0002926,True,,,True,True,True,,True,True,,,,
PATT0002927,True,,,True,True,True,,True,,True,,,
PATT0002928,True,,,True,True,True,,True,,,True,,
PATT0002929,True,,,True,True,True,,True,,,,True,
PATT0002930,True,,,True,True,True,,True,,,,,True
PATT0002931,True,,,True,True,True,,,True,True,,,
PATT0002932,True,,,True,True,True,,,True,,True,,
PATT0002933,True,,,True,True,True,,,True,,,True,
PATT0002934,True,,,True,True,True,,,True,,,,True
PATT0002935,True,,,True,True,True,,,,True,True,,
PATT0002936,True,,,True,True,True,,,,True,,True,
PATT0002937,True,,,True,True,True,,,,True,,,True
PATT0002938,True,,,True,True,True,,,,,True,True,
PATT0002939,True,,,True,True,True,,,,,True,,True
PATT0002940,True,,,True,True,True,,,,,,True,True
PATT0002941,True,,,True,True,,True,True,True,,,,
PATT0002942,True,,,True,True,,True,True,,True,,,
PATT0002943,True,,,True,True,,True,True,,,True,,
PATT0002944,True,,,True,True,,True,True,,,,True,
PATT0002945,True,,,True,True,,True,True,,,,,True
PATT0002946,True,,,True,True,,True,,True,True,,,
PATT0002947,True,,,True,True,,True,,True,,True,,
PATT0002948,True,,,True,True,,True,,True,,,True,
PATT0002949,True,,,True,True,,True,,True,,,,True
PATT0002950,True,,,True,True,,True,,,True,True,,
PATT0002951,True,,,True,True,,True,,,True,,True,
