id,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price
35522,"kansas city, MO",2015,honda,excellent,4 cylinders,gas,112300,clean,automatic,fwd,compact,sedan,black,mo,7472.6700395717635
35523,nashville,2014,CHEVROLET,excellent,8 cylinders,gas,52213,clean,automatic,rwd,full-size,van,white,tn,20002.740642408382
35524,humboldt county,2019,ｆｏｒｄ,good,6 cylinders,gas,88062,clean,automatic,4wd,full-size,pickup,white,ca,16820.293229427847
35525,merced,2016,CHEVROLET,good,5 cylinders,gas,167531,clean,manual,4wd,full-size,truck,black,,12400.870067231986
35526,palm springs,2015,INFINITI,excellent,4 cylinders,gas,57319,clean,other,fwd,compact,sedan,red,ca,9937.69923413315
35527,moses lake,2010,honda,excellent,4 cylinders,gas,169646,clean,automatic,fwd,mid-size,sedan,silver,,5636.9885916476305
35528,central NJ,2015,bmw,excellent,4 cylinders,gas,57541,rebuilt,automatic,fwd,mid-size,sedan,blue,nj,12954.417149185074
35529,plattsburgh-adirondacks,1995,ford,fair,8 cylinders,gas,151413,clean,automatic,rwd,full-size,sedan,black,ny,5438.725180988788
35530,green bay,2016,honda,like new,4 cylinders,,89391,lien,automatic,fwd,mid-size,sedan,silver,wi,10086.346375391158
35531,st joseph,2017,GMC,excellent,8 cylinders,gas,103222,clean,automatic,4wd,full-size,pickup,black,mo,16443.24425471349
35532,boise,2001,FORD,good,6 cylinders,diesel,164940,clean,automatic,4wd,full-size,truck,white,,13998.226171494269
35533,western massachusetts,2012,mitsubishi,excellent,4 cylinders,gas,238687,clean,manual,fwd,compact,sedan,black,ma,4865.373673551744
35534,youngstown,2011,NISSAN,fair,6 cylinders,gas,115102,clean,automatic,4wd,full-size,SUV,blue,oh,8307.673555080159
35535,rochester,2011,chevrolet,excellent,6 cylinders,gas,46523,clean,automatic,4wd,full-size,SUV,black,,19940.74176345417
35536,louisville,2012,nissan,like new,6 cylinders,gas,87454,salvage,automatic,fwd,mid-size,sedan,black,ky,9298.589147932966
35537,chicago,2008,pontiac,fair,8 cylinders,gas,68445,clean,manual,rwd,mid-size,coupe,green,il,6307.821593680708
35538,sarasota-bradenton,2005,chevrolet,excellent,6 cylinders,gas,162136,rebuilt,automatic,fwd,full-size,sedan,black,fl,7851.729260409343
35539,albany,1985,bmw,good,3 cylinders,gas,40819,clean,manual,rwd,compact,coupe,red,ny,9988.15236058738
35540,richmond,2005,volkswagen,good,6 cylinders,gas,169033,clean,automatic,fwd,compact,sedan,red,va,3641.351183343546
35541,central NJ,2013,chevrolet,good,6 cylinders,gas,99977,clean,automatic,fwd,full-size,sedan,black,nj,8077.615597147665
35542,binghamton,2017,nissan,excellent,4 cylinders,,19880,clean,automatic,fwd,mid-size,SUV,silver,ny,14216.866280182932
35543,mcallen / edinburg,2008,mitsubishi,excellent,6 cylinders,gas,238026,clean,automatic,fwd,mid-size,sedan,silver,,4845.073420895039
35544,"washington, DC",1998,ford,good,6 cylinders,gas,188899,clean,manual,fwd,mid-size,SUV,red,dc,4971.197807691137
35545,ventura county,1980,honda,excellent,4 cylinders,gas,160728,clean,automatic,fwd,compact,sedan,blue,ca,4598.707979879122
35546,albany,2018,jeep,excellent,4 cylinders,diesel,18631,rebuilt,automatic,4wd,full-size,SUV,white,ny,34138.12556952662
35547,northwest GA,2006,porsche,fair,6 cylinders,gas,184926,clean,manual,rwd,full-size,convertible,black,ga,8637.623653200275
35548,baltimore,2010,chrysler,excellent,6 cylinders,gas,122896,clean,automatic,fwd,full-size,sedan,silver,md,6310.38256426409
35549,hawaii,1972,bmw,excellent,8 cylinders,gas,34296,clean,manual,rwd,compact,convertible,blue,hi,12214.918704413381
35550,long island,2000,jeep,excellent,6 cylinders,gas,215523,clean,automatic,4wd,mid-size,SUV,black,ny,8015.650173115903
35551,los angeles,1978,ford,fair,6 cylinders,gas,93082,clean,other,rwd,full-size,pickup,blue,ca,8287.624733101433
35552,reno / tahoe,2012,honda,excellent,4 cylinders,gas,168688,clean,manual,fwd,full-size,truck,white,ca,8739.541918232773
35553,pittsburgh,2012,ford,excellent,4 cylinders,gas,139764,clean,automatic,fwd,mid-size,mini-van,silver,pa,7993.729343494616
35554,eastern panhandle,2003,ford,fair,6 cylinders,gas,135297,clean,automatic,4wd,mid-size,offroad,black,,8309.736186291873
35555,medford-ashland,2010,bmw,excellent,6 cylinders,,127330,clean,automatic,4wd,mid-size,sedan,blue,,11633.509721078592
35556,memphis,1985,ford,fair,8 cylinders,gas,211139,clean,automatic,rwd,full-size,truck,grey,,5182.1389989014815
35557,palm springs,2013,mazda,excellent,4 cylinders,gas,131471,clean,automatic,fwd,mid-size,sedan,black,,7512.07888261312
35558,south coast,2005,ford,excellent,4 cylinders,gas,138078,clean,automatic,4wd,full-size,pickup,green,ma,11079.962573749252
35559,boston,1997,jeep,fair,6 cylinders,gas,181860,clean,manual,4wd,full-size,sedan,brown,ma,3968.979744251503
35560,rhode island,2013,chevrolet,excellent,6 cylinders,gas,90315,rebuilt,automatic,fwd,mid-size,sedan,black,ri,11596.761532378516
35561,spokane / coeur d'alene,2005,gmc,good,8 cylinders,gas,122974,clean,automatic,4wd,full-size,truck,white,id,12201.323118265122
35562,los angeles,2015,bmw,like new,4 cylinders,gas,125351,rebuilt,automatic,rwd,mid-size,sedan,blue,ca,13162.552574501104
35563,albany,1999,ＦＯＲＤ,good,6 cylinders,gas,132193,clean,manual,rwd,full-size,SUV,white,ny,9645.811670152143
35564,south jersey,2002,buick,fair,6 cylinders,gas,173190,clean,automatic,rwd,full-size,coupe,blue,nj,5704.728038494258
35565,tampa bay area,2014,buick,excellent,6 cylinders,gas,196833,clean,automatic,fwd,mid-size,sedan,silver,fl,5556.1450828250645
35566,rhode island,2003,chevrolet,fair,4 cylinders,gas,189138,clean,manual,fwd,mid-size,wagon,green,ri,3333.5031398997726
35567,orange county,2013,ford,good,6 cylinders,gas,172824,clean,automatic,4wd,full-size,truck,silver,,9932.13426368187
35568,delaware,2004,honda,good,6 cylinders,,289976,clean,automatic,fwd,full-size,van,silver,de,3075.6237525456577
35569,phoenix,2013,ford,excellent,4 cylinders,gas,126214,clean,automatic,fwd,compact,coupe,white,az,9659.710859557326
35570,los angeles,2011,bmw,excellent,6 cylinders,gas,76760,rebuilt,automatic,rwd,mid-size,sedan,black,ca,14468.617086672442
35571,las vegas,2012,ford,excellent,4 cylinders,gas,81469,clean,automatic,fwd,mid-size,van,white,nv,13527.90652819795
35572,knoxville,2007,toyota,excellent,6 cylinders,gas,64112,clean,automatic,rwd,full-size,truck,white,tn,18419.565642189562
35573,fargo / moorhead,2010,bmw,excellent,6 cylinders,gas,111002,clean,automatic,rwd,mid-size,convertible,grey,mn,13441.234914724411
35574,siskiyou county,2006,BMW,excellent,6 cylinders,gas,123648,clean,automatic,fwd,full-size,sedan,green,,6152.506500545513
35575,phoenix,2009,chevrolet,excellent,4 cylinders,gas,162791,rebuilt,automatic,fwd,mid-size,sedan,silver,az,7605.749329494337
35576,reno / tahoe,2014,chevrolet,good,8 cylinders,gas,114223,salvage,automatic,fwd,full-size,coupe,black,ca,8204.751185268562
35577,"st louis, MO",1986,ram,fair,6 cylinders,diesel,109456,clean,manual,rwd,full-size,pickup,green,mo,9233.424958304497
35578,harrisburg,2008,chevrolet,good,6 cylinders,gas,160056,rebuilt,automatic,4wd,full-size,SUV,red,pa,9708.8099641486
35579,los angeles,2013,toyota,excellent,4 cylinders,gas,64685,clean,automatic,fwd,full-size,sedan,silver,ca,9564.808887157064
35580,south florida,2016,jeep,excellent,6 cylinders,gas,93913,clean,automatic,fwd,mid-size,SUV,black,fl,11363.567555485462
35581,boise,2018,ram,like new,6 cylinders,diesel,15921,clean,automatic,4wd,full-size,truck,silver,id,39632.37691491526
35582,cedar rapids,2017,toyota,excellent,4 cylinders,gas,86369,clean,automatic,fwd,mid-size,sedan,blue,ia,10083.187764665116
35583,dayton / springfield,2017,ford,excellent,4 cylinders,gas,49372,rebuilt,automatic,fwd,full-size,SUV,red,oh,15104.741285453787
35584,scranton / wilkes-barre,1987,CHEVROLET,good,8 cylinders,gas,102453,,automatic,4wd,full-size,,black,pa,10049.630384905515
35585,winston-salem,2016,ford,excellent,6 cylinders,gas,133896,clean,automatic,rwd,full-size,van,white,nc,14266.090882111774
35586,detroit metro,1997,bmw,like new,4 cylinders,gas,97838,clean,manual,rwd,mid-size,sedan,blue,mi,11235.276431498776
35587,tampa bay area,2010,chrysler,excellent,6 cylinders,gas,295200,clean,automatic,fwd,mid-size,mini-van,red,fl,3108.117535447693
35588,albany,2015,ford,excellent,4 cylinders,gas,8173,clean,other,rwd,mid-size,sedan,grey,ny,19498.144006713504
35589,flagstaff / sedona,2011,ford,excellent,4 cylinders,gas,123039,clean,automatic,fwd,full-size,sedan,black,,8774.619536196415
35590,detroit metro,1994,acura,fair,6 cylinders,gas,128745,salvage,automatic,4wd,full-size,SUV,blue,mi,6028.307194116047
35591,los angeles,2014,ford,excellent,4 cylinders,gas,147614,clean,automatic,4wd,full-size,truck,blue,ca,15515.61123975734
35592,tampa bay area,2015,mazda,excellent,4 cylinders,gas,129223,clean,automatic,fwd,mid-size,hatchback,white,fl,9160.169186494613
35593,syracuse,2016,ford,fair,8 cylinders,gas,120967,parts only,automatic,fwd,full-size,truck,black,ny,7553.639934548646
35594,mcallen / edinburg,1986,chevrolet,fair,8 cylinders,gas,93218,clean,automatic,rwd,full-size,truck,black,tx,8993.556820260414
35595,baltimore,2013,JEEP,excellent,6 cylinders,gas,93683,clean,automatic,4wd,full-size,SUV,black,md,15156.713301103397
35596,redding,2010,kia,excellent,4 cylinders,gas,86754,rebuilt,automatic,fwd,mid-size,sedan,black,ca,10129.056327409324
35597,nashville,2009,ford,excellent,4 cylinders,gas,106517,clean,automatic,fwd,full-size,truck,black,tn,12580.685032627956
35598,nashville,2014,ford,excellent,6 cylinders,gas,87426,clean,automatic,fwd,full-size,SUV,white,tn,12978.342081388066
35599,south bend / michiana,2015,honda,excellent,4 cylinders,gas,99116,rebuilt,automatic,fwd,compact,hatchback,silver,in,8992.745223337575
35600,los angeles,2013,ford,excellent,8 cylinders,diesel,128356,clean,automatic,4wd,full-size,truck,black,ca,20643.47494392677
35601,salt lake city,2011,chevrolet,like new,6 cylinders,diesel,102685,clean,automatic,4wd,full-size,SUV,black,ut,21395.68353747678
35602,cincinnati,2012,ford,excellent,6 cylinders,gas,71789,clean,automatic,fwd,mid-size,sedan,silver,oh,10209.92285642614
35603,harrisonburg,2013,chevrolet,excellent,4 cylinders,gas,114938,rebuilt,automatic,fwd,mid-size,SUV,black,va,12265.179009975634
35604,kokomo,1996,ram,good,8 cylinders,gas,67903,clean,automatic,4wd,full-size,truck,green,in,12892.131441793757
35605,"st louis, MO",2016,honda,excellent,4 cylinders,gas,113912,clean,automatic,fwd,full-size,SUV,black,mo,9502.37360584196
35606,asheville,2009,MAZDA,excellent,4 cylinders,gas,230574,clean,manual,fwd,mid-size,hatchback,red,nc,4695.070592005248
35607,los angeles,2014,ram,excellent,8 cylinders,diesel,11022,clean,automatic,rwd,full-size,pickup,black,ca,35906.41981060408
35608,hudson valley,1998,ＣＨＥＶＲＯＬＥＴ,good,6 cylinders,gas,94844,clean,automatic,fwd,mid-size,sedan,red,ny,6720.238553253554
35609,detroit metro,2001,dodge,fair,6 cylinders,gas,92762,rebuilt,automatic,fwd,mid-size,sedan,red,mi,5699.414219877523
35610,lincoln,1987,FORD,good,8 cylinders,diesel,50992,rebuilt,manual,4wd,full-size,truck,black,ne,20204.040534317173
35611,spokane / coeur d'alene,2018,chevrolet,excellent,8 cylinders,gas,8368,clean,automatic,4wd,full-size,truck,black,id,28433.554697222848
35612,cedar rapids,2001,chevrolet,excellent,6 cylinders,gas,139607,clean,automatic,4wd,full-size,SUV,blue,ia,12508.476329154959
35613,boulder,2013,bmw,excellent,4 cylinders,gas,107515,clean,automatic,fwd,mid-size,sedan,black,co,9019.741409261527
35614,rochester,2011,lincoln,fair,8 cylinders,gas,122558,clean,automatic,fwd,full-size,SUV,blue,ny,5913.028543685922
35615,richmond,2013,KIA,good,4 cylinders,gas,107783,clean,automatic,4wd,full-size,SUV,black,va,11073.898063769308
35616,maine,2014,jeep,like new,4 cylinders,gas,88384,clean,automatic,fwd,mid-size,sedan,black,me,10379.045454831255
35617,tampa bay area,2012,ram,like new,6 cylinders,gas,113707,clean,automatic,fwd,full-size,pickup,green,,11216.522392713005
35618,bakersfield,2014,TOYOTA,like new,8 cylinders,gas,35008,clean,automatic,4wd,full-size,truck,black,ca,22597.57991817637
35619,greenville / upstate,2010,FORD,excellent,8 cylinders,diesel,99904,clean,automatic,4wd,full-size,truck,black,sc,22784.909482848976
35620,tulsa,1994,ford,excellent,8 cylinders,gas,98770,clean,manual,4wd,full-size,pickup,black,ok,14331.650594192603
35621,"kansas city, MO",1989,lincoln,excellent,8 cylinders,gas,76737,clean,automatic,rwd,full-size,coupe,black,mo,11410.389891781706
35622,wausau,1969,ford,good,8 cylinders,,120093,clean,manual,rwd,full-size,pickup,black,wi,8299.259949722104
35623,south coast,1971,ford,fair,6 cylinders,gas,109751,clean,manual,rwd,full-size,pickup,green,ma,5465.605829720857
35624,inland empire,2008,ford,excellent,4 cylinders,gas,104390,clean,automatic,fwd,full-size,sedan,black,ca,9278.420320131585
35625,mcallen / edinburg,2013,pontiac,excellent,4 cylinders,gas,145194,clean,automatic,fwd,mid-size,sedan,silver,tx,6258.684512310334
35626,rochester,2012,ford,like new,6 cylinders,gas,92255,lien,automatic,fwd,full-size,sedan,silver,,10768.942543138044
35627,kennewick-pasco-richland,2012,acura,like new,4 cylinders,gas,91883,clean,automatic,fwd,compact,sedan,green,wa,6164.522680404245
35628,new haven,2011,chevrolet,like new,6 cylinders,gas,106191,clean,automatic,fwd,compact,SUV,green,ct,8501.04756826765
35629,rhode island,2009,buick,excellent,6 cylinders,gas,76476,clean,automatic,fwd,mid-size,SUV,black,ri,11389.096556337323
35630,harrisburg,2008,nissan,good,8 cylinders,gas,329189,clean,manual,fwd,full-size,truck,white,pa,3366.5672440650924
35631,nashville,2015,ford,excellent,8 cylinders,gas,36585,clean,automatic,rwd,full-size,truck,white,tn,24202.77330608577
35632,detroit metro,2012,chevrolet,excellent,4 cylinders,gas,56704,clean,automatic,fwd,full-size,sedan,black,mi,12073.264239346314
35633,las vegas,2014,bmw,excellent,6 cylinders,gas,29883,clean,automatic,rwd,full-size,SUV,black,nv,19112.705380980427
35634,inland empire,2011,toyota,fair,8 cylinders,gas,82345,clean,automatic,fwd,full-size,pickup,silver,ca,7018.221721180088
35635,el paso,2012,ford,good,6 cylinders,gas,66109,clean,automatic,fwd,mid-size,sedan,black,tx,9165.711138165245
35636,tucson,2016,audi,like new,4 cylinders,gas,126193,clean,automatic,fwd,mid-size,sedan,black,az,10811.478359128112
35637,las vegas,2006,ｃａｄｉｌｌａｃ,excellent,6 cylinders,gas,62349,clean,manual,rwd,mid-size,SUV,black,nv,16121.276053378851
35638,albany,2016,volkswagen,good,4 cylinders,gas,13287,clean,manual,fwd,compact,sedan,black,ny,8477.486803521164
35639,rochester,2006,chevrolet,excellent,8 cylinders,gas,90837,clean,manual,4wd,full-size,SUV,black,ny,15015.956635370394
35640,eugene,1992,mitsubishi,good,4 cylinders,gas,71003,clean,other,fwd,compact,hatchback,blue,,8056.963588227734
35641,butte,2009,ford,good,4 cylinders,gas,260578,clean,automatic,fwd,mid-size,sedan,white,mt,4105.8138283258795
35642,anchorage / mat-su,2011,ford,excellent,4 cylinders,gas,77521,clean,automatic,fwd,mid-size,SUV,black,ak,12590.784595169858
35643,buffalo,2008,buick,excellent,4 cylinders,gas,317346,clean,manual,fwd,mid-size,SUV,red,ny,3561.432963377439
35644,killeen / temple / ft hood,2019,honda,excellent,4 cylinders,gas,67962,clean,automatic,fwd,compact,hatchback,black,tx,10450.685226922677
35645,philadelphia,2012,bmw,like new,6 cylinders,gas,181372,clean,automatic,fwd,mid-size,SUV,custom,pa,7669.346780092385
35646,champaign urbana,2010,ford,excellent,4 cylinders,gas,166274,clean,automatic,fwd,full-size,truck,black,il,9770.865531534024
35647,albany,1993,chevrolet,good,8 cylinders,gas,22526,clean,automatic,fwd,full-size,truck,white,ny,13505.578530098895
35648,upper peninsula,2011,CHEVROLET,good,6 cylinders,gas,45462,clean,automatic,4wd,full-size,truck,black,mi,18832.643463961907
35649,oregon coast,2002,toyota,fair,4 cylinders,gas,138016,clean,manual,fwd,full-size,pickup,blue,or,5702.7410132843
35650,tampa bay area,2015,BUICK,excellent,4 cylinders,gas,116143,clean,automatic,fwd,mid-size,sedan,blue,,8947.257690590315
35651,shreveport,2013,ford,excellent,6 cylinders,gas,14893,rebuilt,automatic,fwd,mid-size,coupe,white,la,18858.40408136449
35652,billings,2003,ford,excellent,6 cylinders,diesel,171794,clean,automatic,rwd,full-size,truck,white,mt,16162.366045917808
35653,springfield,2015,chevrolet,excellent,8 cylinders,gas,126432,clean,automatic,4wd,full-size,SUV,black,il,14225.960328520894
35654,jackson,2008,FORD,good,8 cylinders,gas,88521,clean,automatic,rwd,compact,sedan,black,tn,9334.094373469403
35655,reno / tahoe,2018,ram,excellent,6 cylinders,gas,150451,clean,automatic,4wd,full-size,pickup,black,ca,16706.11615665475
35656,bloomington,1978,FORD,fair,8 cylinders,gas,80772,clean,manual,fwd,full-size,other,green,in,4423.477444872163
35657,pittsburgh,2012,bmw,excellent,6 cylinders,gas,95761,clean,automatic,rwd,full-size,sedan,black,pa,12065.444990853788
35658,central NJ,2008,chevrolet,good,8 cylinders,gas,118487,clean,automatic,4wd,full-size,truck,brown,nj,10804.067025028275
35659,pueblo,2013,chevrolet,like new,8 cylinders,gas,54427,clean,automatic,fwd,full-size,SUV,green,co,11532.782427758488
35660,denver,2013,jeep,excellent,6 cylinders,diesel,97873,clean,manual,4wd,full-size,SUV,black,,18983.88779241976
35661,charlotte,2007,mazda,excellent,4 cylinders,,85193,clean,manual,4wd,mid-size,hatchback,silver,nc,12428.929136714098
35662,charlotte,2014,volkswagen,good,4 cylinders,gas,210826,clean,manual,fwd,compact,sedan,grey,nc,3489.670144480774
35663,los angeles,2015,cadillac,good,8 cylinders,gas,53377,clean,automatic,rwd,mid-size,sedan,black,ca,12571.733046455753
35664,huntsville / decatur,2014,ｔｏｙｏｔａ,like new,6 cylinders,gas,115886,rebuilt,automatic,4wd,full-size,sedan,silver,al,12204.238514679899
35665,minneapolis / st paul,2010,hyundai,good,4 cylinders,gas,227003,clean,automatic,fwd,mid-size,sedan,silver,mn,3111.2874495475976
35666,reno / tahoe,2014,dodge,excellent,8 cylinders,gas,17754,clean,automatic,rwd,full-size,truck,black,ca,23446.27673735044
35667,spokane / coeur d'alene,2016,ford,good,8 cylinders,diesel,36747,clean,manual,4wd,full-size,truck,black,id,24954.8556469857
35668,nashville,2018,bmw,like new,6 cylinders,gas,4733,rebuilt,automatic,rwd,mid-size,sedan,black,,22090.398942862223
35669,boise,1998,ram,good,8 cylinders,diesel,85137,rebuilt,manual,4wd,full-size,pickup,blue,id,21431.77590608545
35670,louisville,2012,ford,excellent,6 cylinders,gas,137057,clean,automatic,4wd,full-size,SUV,grey,ky,13176.018921581166
35671,new york city,2016,audi,excellent,8 cylinders,gas,187992,rebuilt,automatic,4wd,full-size,SUV,black,,13437.381169925264
35672,rhode island,2007,bmw,excellent,6 cylinders,gas,97860,clean,manual,4wd,mid-size,sedan,black,ri,11903.338447126838
35673,nashville,2015,ram,like new,6 cylinders,gas,144205,clean,automatic,4wd,full-size,pickup,white,tn,18721.153389227675
35674,omaha / council bluffs,2003,ford,good,6 cylinders,gas,102023,clean,manual,rwd,mid-size,SUV,white,ia,11473.71191089727
35675,appleton-oshkosh-FDL,2012,ford,excellent,4 cylinders,gas,71958,clean,automatic,fwd,full-size,sedan,black,wi,11065.4918156938
35676,western slope,2005,ford,excellent,8 cylinders,gas,161806,clean,automatic,4wd,full-size,pickup,silver,co,11314.031955132556
35677,wichita,1986,HYUNDAI,fair,6 cylinders,gas,95313,missing,manual,fwd,full-size,coupe,blue,ks,4022.6664087060403
35678,indianapolis,1995,CHEVROLET,good,6 cylinders,gas,187010,clean,automatic,fwd,compact,other,black,in,5077.61514770031
35679,spokane / coeur d'alene,2008,FORD,excellent,4 cylinders,gas,177222,clean,automatic,fwd,mid-size,sedan,silver,id,6277.274995978453
35680,el paso,2016,chevrolet,excellent,4 cylinders,gas,41296,clean,automatic,4wd,full-size,sedan,blue,tx,18900.968682122995
35681,huntsville / decatur,2004,CHEVROLET,excellent,6 cylinders,gas,110562,clean,automatic,fwd,full-size,sedan,black,al,8827.533904349319
35682,stockton,2012,honda,like new,4 cylinders,gas,9753,lien,automatic,fwd,full-size,SUV,black,ca,16824.715944047377
35683,tucson,2006,bmw,excellent,6 cylinders,gas,23723,rebuilt,automatic,rwd,mid-size,convertible,orange,az,19023.80555835631
35684,south coast,2014,chevrolet,excellent,4 cylinders,gas,100998,rebuilt,automatic,fwd,compact,coupe,blue,ma,11815.65306059216
35685,sarasota-bradenton,2012,chevrolet,excellent,8 cylinders,gas,138239,clean,automatic,fwd,full-size,SUV,silver,fl,8829.819554600906
35686,bozeman,2010,ford,like new,4 cylinders,gas,167842,clean,manual,fwd,mid-size,coupe,red,mt,7583.358966073525
35687,new hampshire,2011,chevrolet,excellent,8 cylinders,gas,23520,rebuilt,automatic,rwd,full-size,van,black,nh,22903.507909777094
35688,boulder,2009,buick,like new,6 cylinders,gas,221862,clean,manual,fwd,mid-size,sedan,blue,co,5431.836864332926
35689,abilene,2004,toyota,excellent,4 cylinders,gas,218677,clean,manual,fwd,compact,sedan,silver,tx,4051.178142746595
35690,dallas / fort worth,2000,chevrolet,excellent,6 cylinders,gas,45983,clean,automatic,4wd,full-size,truck,black,tx,21141.34143345364
35691,humboldt county,2011,ford,excellent,6 cylinders,gas,150380,clean,automatic,4wd,full-size,pickup,silver,ca,12807.225846392112
35692,hickory / lenoir,2017,hyundai,good,4 cylinders,gas,211573,clean,automatic,fwd,mid-size,sedan,silver,nc,3534.4285065529552
35693,cedar rapids,2006,ram,excellent,8 cylinders,diesel,208080,clean,automatic,4wd,full-size,pickup,red,,13751.328261174434
35694,champaign urbana,2012,ford,excellent,4 cylinders,gas,134029,clean,automatic,fwd,mid-size,coupe,silver,il,8783.005164921567
35695,milwaukee,2006,pontiac,like new,6 cylinders,gas,127917,clean,automatic,fwd,mid-size,sedan,white,wi,7631.944515540812
35696,elko,2000,ford,good,6 cylinders,gas,167602,clean,automatic,rwd,mid-size,truck,silver,nv,8660.07594651878
35697,modesto,2014,RAM,excellent,8 cylinders,diesel,55963,clean,manual,4wd,full-size,truck,white,ca,33744.29863019768
35698,hartford,2015,honda,good,4 cylinders,gas,159865,salvage,automatic,fwd,compact,sedan,black,ct,4807.499478521392
35699,los angeles,2011,bmw,like new,6 cylinders,gas,134506,clean,automatic,fwd,mid-size,coupe,black,ca,9171.188461162092
35700,stockton,2019,honda,good,4 cylinders,gas,19545,clean,automatic,fwd,mid-size,sedan,blue,ca,10556.373968433594
35701,portland,2015,jeep,excellent,6 cylinders,gas,125314,clean,automatic,4wd,mid-size,SUV,black,,13525.167514974231
35702,hawaii,2013,chevrolet,excellent,6 cylinders,gas,40708,clean,automatic,fwd,full-size,truck,black,hi,17562.254121430957
35703,colorado springs,2003,bmw,excellent,6 cylinders,,182457,clean,manual,rwd,compact,convertible,silver,co,7896.346478167354
35704,central NJ,1987,ford,good,8 cylinders,gas,43582,clean,automatic,rwd,mid-size,coupe,black,nj,11635.700980022524
35705,hartford,1984,buick,fair,6 cylinders,gas,97040,clean,manual,rwd,mid-size,SUV,white,,7261.165432363985
35706,yuba-sutter,2015,bmw,excellent,6 cylinders,gas,79498,rebuilt,automatic,rwd,mid-size,sedan,silver,ca,13664.295702075777
35707,inland empire,2016,ford,excellent,8 cylinders,gas,78482,clean,automatic,4wd,compact,truck,black,ca,18528.79745005824
35708,bakersfield,2016,honda,like new,4 cylinders,gas,151604,clean,automatic,fwd,full-size,sedan,white,ca,7723.326776226192
35709,nashville,2009,ford,good,6 cylinders,gas,145439,clean,automatic,4wd,full-size,pickup,silver,tn,10404.169153262894
35710,central NJ,2016,buick,like new,4 cylinders,gas,78758,salvage,automatic,fwd,full-size,sedan,black,nj,10558.938114655355
35711,fort wayne,2013,ford,excellent,8 cylinders,gas,145485,clean,manual,4wd,full-size,pickup,black,in,13751.19256891134
35712,billings,2008,toyota,excellent,6 cylinders,gas,146032,clean,automatic,fwd,full-size,mini-van,black,mt,7196.637574280243
35713,albuquerque,2005,toyota,excellent,4 cylinders,gas,178652,salvage,manual,fwd,mid-size,coupe,green,nm,5000.909899907472
35714,muskegon,2018,mazda,like new,4 cylinders,gas,1061,rebuilt,automatic,fwd,compact,sedan,blue,mi,15072.409932424645
35715,south florida,2011,bmw,excellent,6 cylinders,gas,117224,clean,manual,rwd,mid-size,coupe,red,fl,11005.32474893408
35716,boise,2013,honda,like new,4 cylinders,gas,98687,clean,automatic,fwd,compact,sedan,blue,id,8400.180078552163
35717,tulsa,2007,chevrolet,excellent,8 cylinders,gas,81703,clean,automatic,4wd,full-size,truck,green,ok,14832.257608068903
35718,kenosha-racine,2013,ford,excellent,6 cylinders,gas,91407,clean,automatic,rwd,mid-size,truck,white,wi,19286.148420309484
35719,boston,2013,CHEVROLET,good,4 cylinders,gas,146518,clean,automatic,fwd,full-size,SUV,red,ma,7129.353350102331
35720,richmond,2007,toyota,good,4 cylinders,gas,178043,clean,manual,fwd,mid-size,truck,silver,va,5969.583673249013
35721,western massachusetts,2011,FORD,excellent,8 cylinders,gas,51586,rebuilt,automatic,fwd,full-size,truck,white,ma,18578.914720213044
35722,eastern NC,2005,toyota,excellent,8 cylinders,gas,186901,clean,automatic,rwd,full-size,truck,silver,nc,8962.442756966933
35723,corpus christi,1974,dodge,like new,6 cylinders,gas,2188,clean,automatic,rwd,full-size,coupe,black,tx,15766.408082939848
35724,redding,2004,chevrolet,good,6 cylinders,gas,307621,clean,automatic,fwd,full-size,SUV,black,ca,3520.4008989835206
35725,tucson,2019,ford,excellent,4 cylinders,gas,159781,clean,automatic,rwd,full-size,pickup,green,az,10746.859524459875
35726,new york city,2010,toyota,excellent,4 cylinders,gas,65791,clean,automatic,fwd,mid-size,SUV,white,ny,12594.399188119587
35727,joplin,2012,honda,excellent,4 cylinders,gas,81568,clean,automatic,fwd,compact,sedan,silver,mo,7693.64828475343
35728,jersey shore,2009,ｂｍｗ,excellent,6 cylinders,gas,67836,clean,automatic,fwd,full-size,sedan,blue,nj,10473.718052917602
35729,chattanooga,2010,ram,excellent,8 cylinders,gas,154272,clean,automatic,4wd,full-size,pickup,silver,tn,13851.415261462573
35730,chicago,2016,CHEVROLET,like new,6 cylinders,gas,143235,clean,automatic,fwd,full-size,sedan,black,il,8899.87014837634
35731,madison,2014,nissan,like new,8 cylinders,gas,96320,rebuilt,automatic,fwd,full-size,SUV,black,wi,11632.467871275729
35732,madison,2001,ford,excellent,8 cylinders,gas,77930,,automatic,fwd,full-size,,blue,wi,11394.215362681934
35733,las vegas,1995,bmw,fair,6 cylinders,gas,193271,rebuilt,automatic,4wd,full-size,coupe,custom,nv,5539.56703313464
35734,iowa city,2008,acura,excellent,6 cylinders,gas,112579,salvage,automatic,4wd,full-size,SUV,black,ia,11140.712872275297
35735,rhode island,2002,honda,good,4 cylinders,gas,-1,clean,manual,fwd,mid-size,SUV,green,,8710.502472854647
35736,athens,2012,kia,like new,6 cylinders,gas,153407,salvage,automatic,fwd,full-size,sedan,blue,ga,7234.065922610503
35737,st george,2014,ford,excellent,6 cylinders,gas,147894,rebuilt,other,fwd,mid-size,SUV,silver,,9573.397179184272
